,idcode,age,race,married,never_married,grade,collgrad,south,smsa,c_city,industry,occupation,union,wage,hours,ttl_exp,tenure
0,1,37,black,single,0,12.0,not college grad,0,SMSA,0,Transport/Comm/Utility,Operatives,union,11.739125,48.0,10.333334,5.3333335
1,2,37,black,single,0,12.0,not college grad,0,SMSA,1,Manufacturing,Craftsmen,union,6.4009633,40.0,13.621795,5.25
2,3,42,black,single,1,12.0,not college grad,0,SMSA,1,Manufacturing,Sales,,5.0167227,40.0,17.73077,1.25
3,4,43,white,married,0,17.0,college grad,0,SMSA,0,Professional Services,Other,union,9.0338125,42.0,13.211537,1.75
4,6,42,white,married,0,12.0,not college grad,0,SMSA,0,Manufacturing,Operatives,nonunion,8.083731,48.0,17.820513,17.75
5,7,39,white,married,0,12.0,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,4.6296296,30.0,7.326923,2.25
6,9,37,white,single,0,12.0,not college grad,0,SMSA,1,Transport/Comm/Utility,Managers/admin,union,10.491142,40.0,19.04487,19.0
7,12,40,white,married,0,18.0,college grad,0,SMSA,0,Professional Services,Managers/admin,nonunion,17.206116,45.0,15.557693,14.166667
8,13,40,white,married,0,14.0,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,13.083735,8.0,14.25,5.5
9,14,40,white,married,0,15.0,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,7.745568,50.0,7.3846154,2.25
10,15,39,white,married,0,16.0,college grad,0,SMSA,0,Professional Services,Professional/technical,union,16.795479,16.0,15.769231,8.416667
11,16,40,white,married,0,15.0,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,15.48309,40.0,16.384615,13.833333
12,18,40,white,married,0,15.0,not college grad,0,SMSA,0,Wholesale/Retail Trade,Craftsmen,nonunion,5.2334948,40.0,7.75,7.75
13,19,40,white,single,0,15.0,not college grad,0,SMSA,0,Professional Services,Professional/technical,union,10.161026,40.0,14.211538,5.5833335
14,20,39,white,married,0,15.0,not college grad,0,SMSA,0,Professional Services,Professional/technical,union,9.661837,4.0,15.858974,4.6666665
15,22,41,white,married,0,15.0,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,9.057972,32.0,15.012821,3.0
16,23,42,white,married,0,15.0,college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,8.05153,45.0,15.346155,8.083333
17,24,41,white,married,0,14.0,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,11.095006,24.0,16.467947,3.4166667
